text,label
"Votre compte Mobile Money a ete suspendu. Cliquez ici pour reactiver immediatement: http://tmoney-secure-verif.com/login",1
"URGENT: Votre code Flooz a expire. Confirmez votre identite en entrant votre code PIN sur ce lien: bit.ly/flooz-verif",1
"Cher client, vous avez gagne 500000 FCFA! Envoyez votre code secret pour recevoir votre gain maintenant.",1
"Alerte securite: connexion suspecte detectee. Verifiez votre compte en cliquant ici avant 24h ou il sera bloque.",1
"Votre colis est bloque a la douane. Payez 5000 FCFA de frais via ce lien pour le debloquer: http://douane-togo-tax.net",1
"Bonjour, ceci est la banque Ecobank. Votre carte a ete bloquee, composez ce numero et donnez votre code PIN pour la debloquer.",1
"Felicitations! Vous etes le gagnant du tirage TMoney. Repondez avec votre numero et code secret pour valider.",1
"Action requise: votre compte sera ferme dans 24h. Cliquez sur ce lien pour mettre a jour vos informations bancaires.",1
"Cher(e) utilisateur, une transaction suspecte a ete detectee sur votre compte Moov Money. Verifiez maintenant: http://moov-secure-check.tk",1
"Votre abonnement a expire. Entrez votre mot de passe ici pour eviter la suspension immediate du compte: secure-login-update.com",1
"ATTENTION: Nous avons detecte une activite inhabituelle. Confirmez votre identite en repondant avec votre code OTP recu par SMS.",1
"Cher client, votre facture impayee doit etre reglee immediatement sinon coupure du service. Payez via ce lien: pay-now-urgent.info",1
"Support technique Microsoft: votre ordinateur est infecte. Appelez ce numero immediatement pour eviter la perte de vos donnees.",1
"Vous avez recu un transfert de 250000 FCFA. Pour le reclamer, envoyez votre code Flooz secret a ce numero.",1
"Derniere notification: votre compte WhatsApp Business sera suspendu. Verifiez votre compte ici: whatsapp-verify-account.xyz",1
"Cher abonne, votre ligne sera coupee dans 2h pour non-conformite. Cliquez ici pour regulariser: togocel-regularisation.com",1
"Felicitations vous avez ete selectionne pour un pret sans garantie de 1000000 FCFA. Envoyez vos informations bancaires pour valider.",1
"Votre session a expire. Reconnectez-vous en entrant votre identifiant et mot de passe sur ce lien securise.",1
"Alerte: tentative de connexion depuis un nouvel appareil. Si ce n'est pas vous, cliquez ici pour bloquer l'acces immediatement.",1
